AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
18245,White Album 2,TV,13,Oct 2013,Dec 2013,251532,7.60
35672,Yama no Susume Third Season,TV,13,Jul 2018,Sep 2018,27374,7.60
42238,Ani ni Tsukeru Kusuri wa Nai! 4,TV,12,Oct 2020,Dec 2020,30630,7.60
38002,Asobi Asobase Specials,Special,2,Nov 2018,Dec 2018,47343,7.60
51989,BanG Dream! Morfonication,Special,2,Jul 2022,Jul 2022,6588,7.60
1690,Bokura no,TV,24,Apr 2007,Sep 2007,194753,7.60
59001,Cheng He Titong,ONA,24,Jun 2024,N/A,1604,7.60
60,Chrno Crusade,TV,24,Nov 2003,Jun 2004,229946,7.60
2961,Digimon Adventure Movie,Movie,1,Mar 1999,Mar 1999,115282,7.60
2392,Doraemon Movie 26: Nobita no Kyouryuu 2006,Movie,1,Mar 2006,Mar 2006,16838,7.60
905,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Movie,1,Mar 1995,Mar 1995,157784,7.60
35972,Fairy Tail: Final Series,TV,51,Oct 2018,Sep 2019,525538,7.60
38086,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Movie,1,May 2021,May 2021,78233,7.60
36704,Free! Dive to the Future,TV,12,Jul 2018,Sep 2018,185355,7.60
33845,Free! Movie 1: Timeless Medley - Kizuna,Movie,1,Apr 2017,Apr 2017,51849,7.60
6904,Hellsing: Digest for Freaks,OVA,1,Jan 2006,Jan 2006,45579,7.60
1946,Ashita no Nadja,TV,50,Feb 2003,Jan 2004,34243,7.59
110,Chuuka Ichiban!,TV,52,Apr 1997,Sep 1998,20638,7.59
40416,Date A Bullet: Dead or Bullet,Movie,1,Aug 2020,Aug 2020,110998,7.59
71,Full Metal Panic!,TV,24,Jan 2002,Jun 2002,507090,7.59
13117,Hakuouki Movie 1: Kyoto Ranbu,Movie,1,Aug 2013,Aug 2013,30137,7.59
