AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
36468,Shoujo Shuumatsu Jugyou,ONA,12,Oct 2017,Dec 2017,12017,6.47
32039,Show By Rock!! Short!!,TV,12,Jul 2016,Sep 2016,14519,6.47
1742,Souryuuden,OVA,12,Jun 1991,Mar 1993,3820,6.47
8314,Tentai Senshi Sunred: Short Corner,Special,4,Feb 2009,Apr 2009,1010,6.47
30218,The iDOLM@STER Cinderella Girls: Special Program,TV,N/A,Feb 2015,Feb 2015,4041,6.47
2626,The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,Movie,1,Mar 1998,Mar 1998,1974,6.47
471,To Heart 2,TV,13,Oct 2005,Jan 2006,22148,6.47
744,Trouble Chocolate,TV,20,Oct 1999,Mar 2000,6442,6.47
3963,Turn A Gundam I: Chikyuukou,Movie,1,Feb 2002,Feb 2002,5296,6.47
52751,Umayon Shinsaku Short Anime,Special,12,Dec 2021,Dec 2021,1351,6.47
14173,Upotte!! Miatte Waratte,OVA,1,Oct 2012,Oct 2012,16214,6.47
35231,Vatican Kiseki Chousakan: Majo no Soup,OVA,1,Apr 2018,Apr 2018,5056,6.47
1130,Windaria,Movie,1,Jul 1986,Jul 1986,10411,6.47
4943,Yousei Florence,Movie,1,Oct 1985,Oct 1985,2810,6.47
20533,Z/X: Ignition,TV,12,Jan 2014,Apr 2014,41207,6.47
40835,Aishen Qiaokeli-ing: Wanjie Jinian,ONA,1,Mar 2016,Mar 2016,4757,6.47
33704,AOTU Shijie,ONA,32,Jun 2016,Jan 2017,1135,6.47
4074,"Arano no Sakebi Koe: Hoero, Buck",TV,N/A,Jan 1981,Jan 1981,1608,6.47
9736,Astarotte no Omocha!,TV,12,Apr 2011,Jun 2011,149588,6.47
2156,Bakugan Battle Brawlers,TV,52,Apr 2007,Mar 2008,112030,6.47
41137,Battle Spirits: Kakumei no Galette,ONA,5,Aug 2020,Apr 2021,1429,6.47
1673,Bomberman B-Daman Bakugaiden Victory,TV,50,Feb 1999,Jan 2000,2503,6.47
3389,Bus Gamer,TV,3,Mar 2008,Mar 2008,28431,6.47
41283,Cardfight!! Vanguard Gaiden: If,TV,25,May 2020,Nov 2020,4553,6.47
49432,Chi Yan Jinyiwei,ONA,24,Dec 2022,May 2023,965,6.47
9479,Coppelion,TV,13,Oct 2013,Dec 2013,122774,6.47
3853,Crayon Shin-chan Manatsu no Yoru ni Ora Sanjou! Arashi wo Yobu Den-O vs. Shin-O 60-pun Special!!,Special,1,Aug 2007,Aug 2007,2344,6.47
17705,DD Hokuto no Ken (2013),TV,13,Apr 2013,Jun 2013,4439,6.47
41074,Digimon Adventure:,TV,67,Apr 2020,Sep 2021,58390,6.47
40156,Digimon Survive: Prologue Movie,ONA,1,Jul 2019,Jul 2019,6287,6.47
29231,Fushigiboshi no☆Futagohime Gyu! Recap,OVA,1,Aug 2006,Aug 2006,879,6.47
31561,Gangsta. Recap,TV,N/A,Sep 2015,Sep 2015,22054,6.47
8145,Gegege no Kitarou: Nippon Bakuretsu,Movie,1,Dec 2008,Dec 2008,1654,6.47
37247,Gundam Build Divers Prologue,ONA,1,Feb 2018,Feb 2018,7968,6.47
7109,Gyouten Ningen Batsealer,TV,52,Apr 2001,Mar 2002,734,6.47
1907,Harukanaru Toki no Naka de: Hachiyou Shou OVA,OVA,2,Dec 2005,Jan 2006,2300,6.47
10623,Hayan Ma-eum Baeggu,TV,13,Oct 2000,Jan 2001,1133,6.47
3838,Himitsu no Akko-chan 2,TV,61,Oct 1988,Dec 1989,1670,6.47
33396,Hua Jianghu: Bu Liang Ren,ONA,54,Jul 2014,Aug 2015,2052,6.47
30237,Hyakka Ryouran: Samurai After Specials,Special,2,Jan 2015,Jul 2015,11129,6.47
52619,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,TV,12,Jul 2023,Sep 2023,146650,6.47
55192,Jiu Tian Xuan Di Jue 4th Season,ONA,52,May 2023,Nov 2023,667,6.47
2211,Jumping,Movie,1,Jun 1984,Jun 1984,5203,6.47
13185,Juusen Battle Monsuno,TV,52,Oct 2012,Sep 2013,9825,6.47
31344,K: Missing Kings - Manner Movie,Movie,1,Jul 2014,Jul 2014,8526,6.47
6374,Kagaku Ninja-tai Gatchaman II,TV,52,Oct 1978,Sep 1979,2867,6.47
42491,Kamen Rider Zero-One: Short Anime - Everyone's Daily Life,ONA,5,Jul 2020,Nov 2020,675,6.47
7875,Kanokon: Manatsu no Dai Shanikusai Specials,Special,2,Nov 2009,Dec 2009,20091,6.47
35136,Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,Movie,1,Nov 2021,Nov 2021,13106,6.47
4439,Kurenai Sanshirou,TV,26,Apr 1969,Sep 1969,2433,6.47
